term,freq,parts
기준일,34506,기준
비상장,33381,상장
전기말,31398,전기
당분기말,21851,당분 기말
이행현황,20750,이행 현황
당분기,18952,당분
전분기,17940,전분
당기손익공정가치측정금융자산,13374,당기 손익 공정 가치 측정 금융 자산
현금및현금성자산,12223,현금 자산
매출채권,11970,매출 채권
장부금액,11632,장부 금액
미상환잔액,10046,상환 잔액
유형자산,9619,유형 자산
리스부채,9453,리스 부채
잔여만기,9441,잔여 만기
이자비용,8948,이자 비용
부채총계,8517,부채 총계
자본총계,8480,자본 총계
취득원가,8233,취득 원가
자산총계,8163,자산 총계
KB증권,8129,KB 증권
관계기업,7954,관계 기업
영업이익,7803,영업 이익
이자수익,7794,이자 수익
하나증권,7711,하나 증권
퇴직급여,7697,퇴직 급여
전체특수관계자,7548,전체 특수 관계자
무형자산상각비,7368,무형 자산 상각
당기순이익,7308,당기 순이익
종속기업,7292,종속 기업
사업부문,6813,사업 부문
금융자산,6779,금융 자산
사업연도,6674,사업 연도
한도대출,6560,한도 대출
기초금액,6470,기초 금액
무형자산,6145,무형 자산
기타금융부채,5977,기타 금융 부채
배당금수익,5869,배당금 수익
채권명,5800,채권
이행상황보고서제출현황,5740,이행 상황 보고서 제출 현황
비유동자산,5731,유동 자산
유동자산,5580,유동 자산
단기차입금,5523,단기 차입금
외화환산이익,5468,외화 환산 이익
기타금융자산,5468,기타 금융 자산
금융수익,5463,금융 수익
외화환산손실,5432,외화 환산 손실
유동부채,5404,유동 부채
기타유동자산,5397,기타 유동 자산
장기차입금,5229,장기 차입금
재고자산,5226,재고 자산
비유동부채,5224,유동 부채
파생상품자산,5180,파생 상품 자산
법인세비용,5150,법인세 비용
기타비유동자산,5097,기타 유동 자산
기말금액,5008,기말 금액
매출채권및기타채권,5005,매출 채권 기타
기타비용,4991,기타 비용
작성기준일,4961,작성 기준
이행현황기준일,4924,이행 현황 기준
하위범위,4889,하위 범위
사용권자산,4857,사용 자산
비지배지분,4812,지배 지분
판매비와관리비,4767,판매 관리비
이익잉여금,4715,이익 잉여금
차량운반구,4700,차량 운반
단기금융상품,4677,단기 금융 상품
금융부채,4630,금융 부채
미수수익,4599,미수 수익
지급수수료,4585,지급 수수료
당기순이익손실,4583,당기 순이익 손실
통화선도,4490,통화 선도
지배구조변경제한현황,4488,지배 구조 변경 제한 현황
파생상품부채,4475,파생 상품 부채
매입채무및기타채무,4466,매입채무 기타 채무
담보권설정제한현황,4458,담보 설정 제한 현황
자산처분제한현황,4458,자산 처분 제한 현황
유형자산처분이익,4431,유형 자산 처분 이익
유형자산처분손실,4359,유형 자산 처분 손실
재무비율유지현황,4358,재무 비율 유지 현황
기타유동부채,4228,기타 유동 부채
기타자산,4220,기타 자산
기타부채,4220,기타 부채
삼성전자주,4215,삼성전자
투자부동산,4209,투자 부동산
기타포괄손익,4047,기타 포괄 손익
당기손익공정가치측정금융부채,4040,당기 손익 공정 가치 측정 금융 부채
삼성물산주,3886,삼성물산
당기손익인식금융자산,3843,당기 손익 인식 금융 자산
씨제이대한통운주,3838,씨제이 대한통운
당기말,3815,당기
기타포괄손익누계액,3798,기타 포괄 손익 누계
금융자산범주,3724,금융 자산 범주
기타비유동금융자산,3694,기타 유동 금융 자산
자본잉여금,3647,자본 잉여금
계약자산,3636,계약 자산
복리후생비,3607,복리 후생비
기타특수관계자,3528,기타 특수 관계자
미지급비용,3488,지급 비용
대출채권,3488,대출 채권
상각후원가측정금융자산,3480,상각 원가 측정 금융 자산
차입부채,3476,차입 부채
기타비유동부채,3463,기타 유동 부채
해외사업환산손익,3443,해외 사업 환산 손익
기타유동금융자산,3420,기타 유동 금융 자산
기계장치,3411,기계 장치
대손상각비,3398,대손 상각
미지급금,3387,지급금
차입금명칭,3358,차입금 명칭
외환차익,3323,외환 차익
지분법자본변동,3308,지분 자본 변동
손상차손누계액,3303,손상 누계
금융비용,3302,금융 비용
법인세비용차감전순이익,3276,법인세 비용 차감 순이익
범위합계,3242,범위 합계
예수부채,3226,예수 부채
재공품,3186,
외환차손,3184,환차손
계정과목,3103,계정 과목
채무증권,3078,채무 증권
분기말,3077,분기
엘아이지넥스원주,3055,엘아이지넥스원
주제일기획,3040,주제 기획
전체특수관계자합계,3009,전체 특수 관계자 합계
기타수익,3002,기타 수익
파생상품평가이익,2996,파생 상품 평가 이익
환율변동효과,2965,환율 변동 효과
퇴직소득,2948,퇴직 소득
기타소득,2926,기타 소득
공정가치서열체계수준1,2913,공정 가치 서열 체계 수준
대손충당금,2907,대손 충당금
기타채권,2853,기타 채권
기타근로소득,2845,기타 근로 소득
충당부채,2840,충당 부채
당기근무원가,2838,당기 근무 원가
저장품,2827,저장
영업이익손실,2822,영업 이익 손실
정부보조금,2802,정부 보조금
상각후원가측정대출채권,2790,상각 원가 측정 대출 채권
주식매수선택권행사이익,2778,주식 매수 선택 행사 이익
하나캐피탈,2769,하나 캐피탈
공동기업,2767,공동 기업
주식발행초과금,2751,주식 발행 초과
무형자산처분손실,2737,무형 자산 처분 손실
수익매출액,2735,수익 매출액
삼성에스디에스주,2727,삼성에스디에스
기타비유동금융부채,2722,기타 유동 금융 부채
광고선전비,2717,광고 선전비
감가상각누계액,2659,감가상각 누계
금융상품,2643,금융 상품
미처분이익잉여금,2637,처분 이익 잉여금
파생상품평가손익,2630,파생 상품 평가 손익
비유동리스부채,2608,비유동리스 부채
파생상품평가손실,2592,파생 상품 평가 손실
할인율,2580,할인
장기금융상품,2564,장기 금융 상품
연결내부회계관리제도,2529,연결 내부 회계 관리 제도
금융자산분류,2519,금융 자산 분류
매매목적,2515,매매 목적
장부금액합계,2502,장부 금액 합계
현금및예치금,2494,현금 예치금
기타유동금융부채,2483,기타 유동 금융 부채
지배기업,2475,지배 기업
매출총이익,2464,매출 이익
지배기업소유주지분,2459,지배 기업 소유주 지분
통화스왑,2448,통화 스왑
금융자산공정가치,2439,금융 자산 공정 가치
기타자본구성요소,2413,기타 자본 구성 요소
영업권,2388,영업
잡이익,2387,이익
장기대여금,2379,장기 대여금
지분증권,2376,지분 증권
분기순이익,2375,분기 순이익
신종자본증권,2362,신종 자본 증권
무형자산손상차손,2359,무형 자산 손상
계약부채,2352,계약 부채
위원회명,2346,위원회
파생상품,2346,파생 상품
세금과공과,2319,세금 공과
선급비용,2295,비용
무형자산처분이익,2259,무형 자산 처분 이익
KB캐피탈,2247,KB 캐피탈
유동리스부채,2240,유동 리스 부채
단기대여금,2216,단기 대여금
상각후원가측정금융부채,2200,상각 원가 측정 금융 부채
영업수익,2180,영업 수익
법인세비용수익,2173,법인세 비용 수익
수수료수익,2138,수수료 수익
금융원가,2131,금융 원가
주식보상비용,2122,주식 보상 비용
기초장부금액,2103,기초 장부 금액
사채할인발행차금,2101,사채 할인 발행 차금
담당상근,2099,담당 상근
기타채무,2052,기타 채무
손상차손,2016,손상
주식수,1985,주식
상장여부,1980,상장 여부
여비교통비,1979,여비 교통비
액면금액,1965,액면 금액
삼성중공업주,1956,삼성중공업
파생상품거래이익,1925,파생 상품 거래 이익
보험서비스결과,1891,보험 서비스 결과
당기법인세부채,1876,당기 법인세 부채
기업어음증권,1873,기업 어음 증권
차입금이자율,1870,차입금 이자
상각후원가측정유가증권,1870,상각 원가 측정 유가 증권
법인명,1869,법인
파생상품거래손실,1843,파생 상품 거래 손실
종업원급여,1819,종업원 급여
발행회사,1819,발행 회사
평균잔액,1801,평균 잔액
대표이사,1776,대표 이사
유형자산손상차손,1774,유형 자산 손상
부서팀명,1762,부서
기타사항,1762,기타 사항
금융부채공정가치,1756,금융 부채 공정 가치
사용권자산감가상각비,1740,사용 자산 감가상각비
비상장주식,1737,상장 주식
부채비율,1729,부채 비율
사외이사,1726,사외 이사
대손상각비환입,1725,대손 상각
금융리스채권,1712,금융리스 채권
기말장부금액,1701,기말 장부 금액
이자율스왑,1699,이자 스왑
당기법인세자산,1699,당기 법인세 자산
금융자산합계,1698,금융 자산 합계
유동성장기차입금,1696,유동 장기 차입금
기타자본잉여금,1688,기타 자본 잉여금
부채와자본총계,1681,부채 자본 총계
유상증자,1681,유상 증자
삼성이앤에이주,1677,삼성이앤에이
기타이익,1675,기타 이익
상위범위,1667,상위 범위
합계구간,1666,합계 구간
수익증권,1665,수익 증권
기타수취채권,1665,기타 수취 채권
기본주당이익,1662,기본 이익
법인세효과,1647,법인세 효과
기업전체총계,1645,기업 전체 총계
산업재산권,1636,산업 재산
임의적립금,1621,임의 적립금
소제기일,1616,소제 기일
연결범위변동,1609,연결 범위 변동
연차배당,1603,연차 배당
약정금액,1599,약정 금액
금융부채합계,1594,금융 부채 합계
삼성에스디아이주,1577,삼성에스디아이
관계기업및공동기업,1573,관계 기업 공동
본점소재지,1570,본점 소재지
소송당사자,1569,소송 당사자
반제품,1569,제품
사용용도,1567,사용 용도
연결감사보고서,1550,연결 감사 보고서
영업외손익,1550,영업 손익
반기말,1524,기말
재고자산평가손실,1520,재고 자산 평가 손실
기말잔액,1509,기말 잔액
금융부채범주,1500,금융 부채 범주
현금흐름,1500,현금 흐름
자본조정,1497,자본 조정
사용권자산상각비,1495,사용 자산 상각
선수수익,1482,선수 수익
유가증권,1478,유가 증권
주식기준보상,1477,주식 기준 보상
기초유형자산,1474,기초 유형 자산
진행상황,1474,진행 상황
영업부문,1473,영업 부문
보험수익,1471,보험 수익
보험취득현금흐름,1468,보험 취득 현금 흐름
재무활동현금흐름,1467,재무 활동 현금 흐름
기초잔액,1466,기초 잔액
기타손실,1465,기타 손실
기말유형자산,1462,기말 유형 자산
12개월기대신용손실,1461,개월 기대 신용 손실
거래상대방,1453,거래 상대방
외환차이,1453,외환 차이
기타충당부채,1449,기타 충당 부채
향후소송일정및대응방안,1444,향후 소송 일정 대응 방안
감가상각비유형자산,1442,감가상각비 유형 자산
매출채권처분손실,1439,매출 채권 처분 손실
기초현금및현금성자산,1429,기초 현금 자산
영업활동현금흐름,1428,영업 활동 현금 흐름
현재가치할인차금,1426,현재 가치 할인 차금
교육일자,1415,교육 일자
유동성사채,1411,유동 사채
공정가치,1401,공정 가치
기초금융자산,1385,기초 금융 자산
수수료비용,1384,수수료 비용
기업명,1378,기업
충당금적립액,1368,충당금 적립
기타증감,1363,기타 증감
소송가액,1360,소송 가액
기말금융자산,1359,기말 금융 자산
경험조정,1319,경험 조정
재고자산평가손실환입,1311,재고 자산 평가 손실
손상미인식,1310,손상 인식
투자활동현금흐름,1299,투자 활동 현금 흐름
원리금지급의무,1298,원리금 지급 의무
적립율,1296,적립
보험계약부채,1294,보험 계약 부채
손실충당금,1292,손실 충당금
교육훈련비,1290,교육 훈련비
할인율변동효과,1290,할인 변동 효과
소모품비,1285,소모품
초과청구공사,1272,초과 청구 공사
현금흐름위험회피,1261,현금 흐름 위험 회피
국고채등,1252,국고채
환율변동효과등,1251,환율 변동 효과
기타사업,1247,기타 사업
거래목적,1240,거래 목적
자산합계,1239,자산 합계
당기손익공정가치금융자산,1231,당기 손익 공정 가치 금융 자산
영업비용,1226,영업 비용
배당수익,1224,배당 수익
삼성전기주,1218,삼성전기
주하나은행,1215,하나은행
사모사채,1191,사모 사채
특수관계자명,1189,특수 관계자
장기매출채권및기타채권,1187,장기 매출 채권 기타
외화환산손익,1186,외화 환산 손익
금융기관예치금,1183,금융 기관 예치금
정비사업,1178,정비 사업
기타포괄손익공정가치금융자산,1175,기타 포괄 손익 공정 가치 금융 자산
주당액면가액원,1171,액면 가액
종속기업명,1171,종속 기업
기타영업외비용,1167,기타 영업 비용
경상개발비,1159,경상 개발비
특허권,1151,특허
기타판매비와관리비,1146,기타 판매 관리비
기타영업외수익,1137,기타 영업 수익
유동성대체,1135,유동 대체
파생상품금융부채,1130,파생 상품 금융 부채
복구충당부채,1127,복구 충당 부채
리스현금유출,1123,리스 현금 유출
투자요소,1123,투자 요소
유동파생상품자산,1121,유동 파생 상품 자산
일반관리비,1119,일반 관리비
일반대출,1117,일반 대출
공정가치위험회피,1117,공정 가치 위험 회피
기타지급채무,1113,기타 지급 채무
비유동파생상품자산,1112,유동 파생 상품 자산
반기순이익,1110,반기 순이익
부문합계,1110,부문 합계
지분법손익,1107,지분 손익
장기선급비용,1100,장기선 비용
퇴직급여비용확정기여제도,1092,퇴직 급여 비용 확정 기여 제도
기말투자부동산,1089,기말 투자 부동산
미청구공사,1085,청구 공사
비손상,1084,손상
파생금융자산,1077,파생 금융 자산
법정적립금,1070,법정 적립금
유동매출채권,1068,유동 매출 채권
관계기업투자,1063,관계 기업 투자
미지급배당금,1062,지급 배당금
평가손익,1056,평가 손익
기말현금및현금성자산,1053,기말 현금 자산
채무상품,1052,채무 상품
한국거래소귀중,1051,한국거래소 귀중
제출대상법인유형,1051,제출 대상 법인 유형
면제사유발생,1051,면제 사유 발생
작성책임자,1051,작성 책임자
배당금수익금융수익,1051,배당금 수익 금융
특수채,1049,특수
장기미수금,1048,장기 미수금
퇴직급여판관비,1046,퇴직 급여 판관
파생금융부채,1041,파생 금융 부채
보증한도,1036,보증 한도
사외적립자산공정가치,1036,사외 적립 자산 공정 가치
발행금리,1029,발행 금리
장기미지급금,1026,장기 지급금
미지급누적이자,1023,지급 누적 이자
공사손실충당부채,1021,공사 손실 충당 부채
기타무형자산,1020,기타 무형 자산
기초투자부동산,1020,기초 투자 부동산
사업결합,1019,사업 결합
정기예금,1019,정기 예금
성격별비용합계,1018,성격 비용 합계
발행목적,1017,발행 목적
연결주당순이익원,1016,연결 순이익
상각누계액,1014,상각 누계
기타영업비용,1014,기타 영업 비용
매도가능금융자산,1013,매도 가능 금융 자산
금융부채분류,1012,금융 부채 분류
유동항목,1012,유동 항목
감가상각누계액및상각누계액,1010,감가상각 누계 상각
특수관계자,1008,특수 관계자
자본과부채총계,1007,자본 부채 총계
부채및자본총계,1002,부채 자본 총계
영업외수익,1002,영업 수익
주식선택권,1001,주식 선택
배당금지급,998,배당금 지급
주당현금배당금원,997,주당 현금 배당금
주당주식배당주,996,주식 배당
발행방법,991,발행 방법
주식발행감소일자,991,주식 발행 감소 일자
신용손실충당금전입액,991,신용 손실 충당금 전입
연속배당횟수,985,연속 배당 횟수
분기중간배당,985,분기 중간 배당
사외이사감사위원회위원제외,984,사외 이사 감사 위원회 위원 제외
비유동충당부채,983,유동 충당 부채
차입금만기,982,차입금 만기
투자계약부채,982,투자 계약 부채
특수관계구분,981,특수 관계 구분
차입처,977,차입
장기보증금,977,장기 보증금
지분율,974,지분
유동선급비용,972,유동 비용
수정소급법하계약,972,수정 소급 계약
신기술신제품,970,기술 제품
대손상각비대손충당금환입,961,대손 상각 충당금
기타영업손익,959,기타 영업 손익
장기매출채권,958,장기 매출 채권
유동파생상품부채,957,유동 파생 상품 부채
기초순확정급여부채자산,956,초순 확정 급여 부채 자산
단기급여,955,단기 급여
기타장기종업원급여,954,기타 장기 종업원 급여
매출등,953,매출
임대수익,951,임대 수익
우리금융캐피탈,950,우리금융 캐피탈
KDB산업은행,948,KDB 산업은행
총자산,942,자산
해외사업장환산외환차이,940,해외 사업장 환산 외환 차이
건강보험,938,건강 보험
지급수수료판관비,934,지급 수수료 판관
기타자본항목,934,기타 자본 항목
금융기관,933,금융 기관
지급임차료,931,지급 임차료
주식회사신한은행,930,주식회사 신한은행
효성중공업주,930,효성 중공업
무형자산및영업권,928,무형 자산 영업
매출채권및기타유동채권,925,매출 채권 기타 유동
단기종업원급여,925,단기 종업원 급여
서울보증보험,924,서울 보증 보험
발행사채,923,발행 사채
상장주식,922,상장 주식
발행주식수,918,발행 주식
담보제공자산,914,담보 제공 자산
대출잔액,912,대출 잔액
비유동파생상품부채,911,유동 파생 상품 부채
삼성엔지니어링주,909,삼성엔지니어링
실시여부,908,실시 여부
금융수익합계,908,금융 수익 합계
보증처,906,보증
계열사계,903,계열사
복리후생비판관비,902,복리 후생비 판관
도입여부,896,도입 여부
명목금액,896,명목 금액
이자율,896,이자
발행주식총수A,892,발행 주식 총수
장기투자자산,892,장기 투자 자산
당기손익인식금융부채,891,당기 손익 인식 금융 부채
보증금액,889,보증 금액
실사입회장소,886,실사 입회 장소
실사입회대상,886,실사 입회 대상
처분및폐기,883,처분 폐기
투표제도종류,881,투표 제도 종류
확정급여채무현재가치,878,확정 급여 채무 현재 가치
무형자산상각비판관비,876,무형 자산 상각 판관
과거근무원가,872,과거 근무 원가
분기순이익손실,871,분기 순이익 손실
발행금액,869,발행 금액
기본주당이익단위원,869,기본 이익 단위
감가상각비판관비,868,감가상각비 판관
수도광열비,866,수도 광열
감사위원회위원,866,감사 위원회 위원
금융자산분류합계,866,금융 자산 분류 합계
단기보증금,858,단기 보증금
처분금액,857,처분 금액
삼성디스플레이주,855,삼성디스플레이
측정전체,852,측정 전체
외환차손금융원가,850,환차손 금융 원가
사용권자산처분이익,842,사용 자산 처분 이익
유동충당부채,840,유동 충당 부채
장기매입채무및기타채무,838,장기 매입 채무 기타
하자보수충당부채,836,하자 보수 충당 부채
보험계약마진상각,836,보험 계약 마진 상각
수행시기,834,수행 시기
미등기임원,832,등기 임원
유동성장기부채,830,유동 장기 부채
재보험계약부채,829,보험 계약 부채
이익잉여금결손금,825,이익 잉여금 결손
신종자본증권배당,824,신종 자본 증권 배당
외환차익금융수익,822,외환 차익 금융 수익
취득금액,822,취득 금액
상표권,817,상표
기초사용권자산,816,기초 사용 자산
삼성바이오에피스주,814,삼성바이오에피스
감가상각비및무형자산상각비,813,감가상각비 무형 자산 상각
매입채무및기타유동채무,812,매입채무 기타 유동 채무
시설장치,810,시설 장치
변동일자,808,변동 일자
매각예정자산,803,매각 예정 자산
보통주자본금,802,보통주 자본금
용역매출,802,용역 매출
감가상각비사용권자산,799,감가상각비 사용 자산
장기종업원급여,799,장기 종업원 급여
기타영업수익,799,기타 영업 수익
외화환산손실금융원가,798,외화 환산 손실 금융 원가
대규모기업집단,798,규모 기업 집단
외화환산이익금융수익,798,외화 환산 이익 금융 수익
자산과부채,796,자산 부채
공동기업및관계기업,794,공동 기업 관계
감사위원회,792,감사 위원회
삼성자산운용주,792,삼성자산운용
이익잉여금처분액,791,이익 잉여금 처분
유형자산합계,790,유형 자산 합계
파생상품금융자산,789,파생 상품 금융 자산
주식회사수퍼톤,787,주식회사 수퍼
단기금융자산,786,단기 금융 자산
명의개서대리인,783,명의개서 대리인
연체상태,775,연체 상태
기능통화또는표시통화,775,기능 통화 표시
환율변동등기타,774,환율 변동 기타
차입금명칭합계,770,차입금 명칭 합계
퇴직급여비용확정급여제도,770,퇴직 급여 비용 확정 제도
전체종속기업,767,전체 종속 기업
재보험계약자산,767,보험 계약 자산
바이오의약품,767,바이오 의약품
영업외비용,766,영업 비용
지분법이익,766,지분 이익
법인세비용수익합계,765,법인세 비용 수익 합계
당기손익,765,당기 손익
공정가치서열체계수준2,763,공정 가치 서열 체계 수준
마에스트로디에스주,763,마에스트로 에스
임대보증금,761,임대 보증금
발생사고이행현금흐름변동,761,발생 사고 이행 현금 흐름 변동
기능별항목,759,기능 항목
단기리스료,758,단기 리스료
대손충당금환입,752,대손 충당금
주당액면가액,751,액면 가액
리스채권,749,리스 채권
기초신용손실충당금,749,기초 신용 손실 충당금
재측정요소,745,측정 요소
관계기업및공동기업투자,745,관계 기업 공동 투자
유동성리스부채,744,유동 리스 부채
소액주주수,739,소액 주주
소액주주,739,소액 주주
기말사용권자산,738,기말 사용 자산
기본주당이익손실단위원,735,기본 이익 손실 위원
매각예정자산처분이익,733,매각 예정 자산 처분 이익
분기말금액,730,분기 금액
주식선택권행사,730,주식 선택 행사
여비교통비판관비,728,여비 교통비 판관
개최일자,727,개최 일자
차입금및사채,726,차입금 사채
보험서비스비용,723,보험 서비스 비용
취득처분,722,취득 처분
연결조정,722,연결 조정
외화자금,720,외화 자금
한화솔루션,719,한화 솔루션
특정금전신탁,717,특정 금전 신탁
공사건수,715,공사 건수
기타항목,714,기타 항목
사채이자,713,사채 이자
정관변경일,711,정관 변경
당기손익인식액,711,당기 손익 인식
법인세비용조정,707,법인세 비용 조정
보험계약마진,707,보험 계약 마진
평균유효세율,706,평균 유효 세율
신규연결,702,신규 연결
연구개발비,702,연구 개발비
투자부동산처분이익,701,투자 부동산 처분 이익
지분법손실,701,지분 손실
연결제외,700,연결 제외
중소기업해당여부,700,중소기업 해당 여부
종속기업투자,699,종속 기업 투자
기타불입자본,699,기타 불입 자본
유형자산폐기손실,698,유형 자산 폐기 손실
벤처기업해당여부,697,벤처 기업 해당 여부
중견기업해당여부,697,중견 기업 해당 여부
금융보증부채,689,금융 보증 부채
기타유가증권,688,기타 유가 증권
재평가잉여금,687,평가 잉여금
기타매출,685,기타 매출
지급보증,682,지급 보증
수권주식수,681,수권 주식
출자목적,678,출자 목적
경영참여,678,경영 참여
일반투자,678,일반 투자
단순투자,678,단순 투자
비유동매출채권,677,유동 매출 채권
광고선전비판관비,676,광고 선전비 판관
시장규모,675,시장 규모
신고일자,673,신고 일자
기타자본조정,671,기타 자본 조정
해당여부,671,해당 여부
희석주당이익,671,희석 이익
사망보험,671,사망 보험
당기손익공정가치측정,670,당기 손익 공정 가치 측정
내부매출액,669,내부 매출액
조기상환조항,669,조기 상환 조항
공정가치서열체계수준3,668,공정 가치 서열 체계 수준
사내이사,667,사내 이사
환위험,667,위험
취득방법,666,취득 방법
보통예금,664,보통 예금
기타부문,664,기타 부문
법인세부담액,663,법인세 부담액
삼성생명보험주,663,삼성생명보험
구성비율,662,구성 비율
기타이자비용,662,기타 이자 비용
계약상대방,661,계약 상대방
조기상환가능일,660,조기 상환 가능
희석주당이익단위원,658,희석 이익 단위
영업손익,657,영업 손익
국민연금전환금,656,국민연금 전환
기본주당이익손실,655,기본 이익 손실
상각후원가측정기타수취채권,654,상각 원가 측정 기타 수취 채권
시장변수하락시당기손익감소,651,시장 변수 하락 당기 손익 감소
기타포괄손익인식액,650,기타 포괄 손익 인식
이자수취,649,이자 수취
외주용역비,648,외주 용역비
이익준비금,646,이익 준비금
임차료판관비,646,임차료 판관
피투자회사투자회사,646,투자 회사
배당가능이익범위이내취득,644,배당 가능 이익 범위 이내 취득
행사가격,644,행사 가격
시장변수상승시당기손익증가,643,시장 변수 상승 당기 손익 증가
급여지급액,643,급여 지급액
세금과공과판관비,642,세금 판관
연구개발비용계,641,연구 개발 비용
금융보증계약,641,금융 보증 계약
가치평가기법,640,가치 평가 기법
보험계약자산기초,640,보험 계약 자산 기초
보험계약부채기초,640,보험 계약 부채 기초
보험계약자산기말,640,보험 계약 자산 기말
보험계약부채기말,640,보험 계약 부채 기말
배당금수취,639,배당금 수취
주총일자,636,주총 일자
예수보증금,635,예수 보증금
제품매출,635,제품 매출
처분유형자산,634,처분 유형 자산
보험취득현금흐름상각,634,보험 취득 현금 흐름 상각
소송건수,633,소송 건수
기타자본,633,기타 자본
단기투자자산,632,단기 투자 자산
사채명목금액,631,사채 명목 금액
외환거래이익,631,외환 거래 이익
장기금융자산,629,장기 금융 자산
기타비유동채권,628,기타 유동 채권
기타유형자산,626,기타 유형 자산
1기초대손충당금잔액합계,623,대손 충당금 잔액 합계
미수금등,623,미수금
임대료수익,620,임대료 수익
사용권자산처분손실,617,사용 자산 처분 손실
비유동금융자산,616,유동 금융 자산
기말기타충당부채,616,기말 기타 충당 부채
외화증권,616,외화 증권
무형자산손상차손환입,616,무형 자산 손상
기타변동,614,기타 변동
단기예수금,614,단기 예수금
생명보험,614,생명 보험
시장변수상승시당기손익감소,612,시장 변수 상승 당기 손익 감소
판매비와일반관리비,612,판매 일반 관리비
대손상각,612,대손 상각
진행경과,612,진행 경과
ESG위원회,611,ESG 위원회
작용기전,611,작용 기전
관련논문등,611,관련 논문
향후계획,610,향후 계획
결산배당,608,결산 배당
보험계약자산,608,보험 계약 자산
운용수익,607,운용 수익
경쟁제품,607,경쟁 제품
기대신용손실전환입금융자산,606,기대 신용 손실 전환 금융 자산
확정급여부채,605,확정 급여 부채
사외적립자산,603,사외 적립 자산
제품과용역,602,제품 용역
확정계약자산,602,확정 계약 자산
금융비용합계,601,금융 비용 합계
3대손상각비계상환입액,601,대손 상각 계상
기말무형자산및영업권,600,기말 무형 자산 영업
기타손익,599,기타 손익
손실요소제외,598,손실 요소 제외
주주명,597,주주
경상연구개발비,597,경상 연구 개발비
주요경영진,595,주요 경영진
수취채권특수관계자거래,594,수취 채권 특수 관계자 거래
주요내용,593,주요 내용
시장변수하락시당기손익증가,592,시장 변수 하락 당기 손익 증가
외주가공비,592,외주 가공
퇴직급여지급액,591,퇴직 급여 지급액
조정항목,590,조정 항목
회사채녹색채권,590,회사채 녹색 채권
1년초과2년이내,589,초과 이내
외화유가증권,589,외화 유가 증권
부채합계,586,부채 합계
지역합계,585,지역 합계
기타장기종업원급여부채,583,기타 장기 종업원 급여 부채
외화환산조정,582,외화 환산 조정
금융자산범주합계,580,금융 자산 범주 합계
차감현금및현금성자산,580,차감 현금 자산
USD외화사채무보증,580,USD 외화 사채 보증
투자부동산감가상각비,579,투자 부동산 감가상각비
원화장기차입금,579,원화 장기 차입금
단기미수수익,578,단기 미수 수익
소송금액,576,소송 금액
감가상각비투자부동산,576,감가상각비 투자 부동산
비율AB,575,비율 AB
합계구간합계,574,합계 구간
판매보증충당부채,574,판매 보증 충당 부채
종업원급여비용,573,종업원 급여 비용
전체관계기업투자금액,571,전체 관계 기업 투자 금액
환율변동,570,환율 변동
사외이사후보추천위원회,569,사외 이사 후보 추천 위원회
시작일,567,시작
외환손익,567,외환 손익
대규모기업집단계열회사,567,규모 기업 집단 계열 회사
주가변동성,566,주가 변동
무보증공모사채,563,보증 공모 사채
주권상장또는등록지정현황,563,주권 상장 등록 지정 현황
확정계약평가이익,563,확정 계약 평가 이익
파생상품관련이익,563,파생상품 관련 이익
비상장지분증권,563,상장 지분 증권
보험비용,562,보험 비용
기타주식,562,기타 주식
연결당기순이익,560,연결 당기 순이익
수권주식수단위주,558,수권 주식 수단 위주
위험회피목적파생상품자산,558,위험 회피 목적 파생 상품 자산
장기리스부채,558,장기 리스 부채
기말신용손실충당금,556,기말 신용 손실 충당금
당기손익인식금융자산평가이익,555,당기 손익 인식 금융 자산 평가 이익
최상위지배기업,554,상위 지배 기업
확정계약평가손실,553,확정 계약 평가 손실
유동계약자산,552,유동 계약 자산
세액공제,552,세액 공제
공구와기구,552,공구 기구
퇴직급여조정,550,퇴직 급여 조정
처분손익,548,처분 손익
기타유동채권,546,기타 유동 채권
4기말대손충당금잔액합계,546,기말 대손 충당금 잔액 합계
한국항공우주산업주,546,한국항공우주산업
장외직접취득,545,장외 직접 취득
공개매수,545,공개 매수
현물보유물량,545,현물 보유 물량
주호텔신라,545,호텔신라
소계a,544,소계
소계b,544,소계
기타취득c,544,기타 취득
외화환산손실조정,544,외화 환산 손실 조정
지분상품,543,지분 상품
비유동항목,542,유동 항목
시설자금,542,시설 자금
기초기타충당부채,540,기초 기타 충당 부채
위험회피목적파생상품평가손익,540,위험 회피 목적 파생 상품 평가 손익
상각비,539,상각
파생상품거래이익금융수익,539,파생 상품 거래 이익 금융 수익
통화선물,537,통화 선물
차입부채이자,537,차입 부채 이자
본사소재지국가,536,본사 소재지 국가
기초자산,535,기초 자산
한화오션주,534,한화 오션
현금및현금성자산합계,531,현금 자산 합계
관계사전출입,529,관계 사전 출입
예수부채이자,529,예수 부채 이자
이자수익금융수익,528,이자 수익 금융
신종자본증권발행,527,신종 자본 증권 발행
장외옵션,527,장외 옵션
주식스왑,527,주식 스왑
외화금융자산원화환산금액,526,외화 금융 자산 원화 환산 금액
유동금융보증부채,525,유동 금융 보증 부채
위험회피목적,525,위험 회피 목적
외환거래손실,525,외환 거래 손실
장기미지급비용,524,장기 지급 비용
주주명부폐쇄시기,524,주주명부 폐쇄 시기
공정가치법하계약,524,공정 가치 계약
