part,part_df,n_owner,owner_max_df,share,vs_owner
파이낸스,1372,3,60,0.008,22.87
액티브,1371,4,441,0.008,3.11
차단,1371,1,0,0.008,0.0
필리핀,1371,1,0,0.008,0.0
인수권부,1370,1,1325,0.008,1.03
WM,1369,1,0,0.008,0.0
약관,1369,2,65,0.008,21.06
테크노,1369,1,210,0.008,6.52
여행,1368,2,165,0.008,8.29
권유,1367,2,57,0.008,23.98
씨제이,1364,7,103,0.008,13.24
슈퍼,1360,1,0,0.0079,0.0
상향,1355,2,18,0.0079,75.28
유보,1355,7,573,0.0079,2.36
클린,1355,4,42,0.0079,32.26
밸리,1353,1,210,0.0079,6.44
화장품,1353,4,80,0.0079,16.91
성과급,1352,4,412,0.0079,3.28
소제,1352,1,588,0.0079,2.3
사무실,1351,1,0,0.0079,0.0
기자재,1349,3,90,0.0079,14.99
부평,1348,2,93,0.0079,14.49
상담,1346,2,152,0.0078,8.86
골프,1344,3,127,0.0078,10.58
투표,1344,2,0,0.0078,0.0
로열티,1342,4,251,0.0078,5.35
매매업,1342,1,774,0.0078,1.73
SDI,1332,3,716,0.0078,1.86
갱신,1330,1,0,0.0078,0.0
용역비,1328,8,541,0.0077,2.45
한도액,1328,4,220,0.0077,6.04
월간,1327,4,264,0.0077,5.03
CIS,1323,1,0,0.0077,0.0
가맹점,1323,2,168,0.0077,7.88
경보,1323,1,0,0.0077,0.0
입회,1321,4,0,0.0077,0.0
GBP,1319,2,0,0.0077,0.0
재경,1316,2,467,0.0077,2.82
환불,1316,9,900,0.0077,1.46
김성,1310,4,62,0.0076,21.13
장인,1310,1,43,0.0076,30.47
국방,1309,1,158,0.0076,8.28
패키지,1309,2,257,0.0076,5.09
주선,1308,2,103,0.0076,12.7
신세계,1306,1,0,0.0076,0.0
위성,1306,1,236,0.0076,5.53
도매,1301,1,0,0.0076,0.0
형식,1300,1,0,0.0076,0.0
보험자,1296,2,0,0.0076,0.0
SPC,1295,3,21,0.0075,61.67
기술원,1294,2,32,0.0075,40.44
KB국민카드,1291,1,0,0.0075,0.0
외국인,1290,1,0,0.0075,0.0
TON,1289,2,0,0.0075,0.0
VIII,1287,8,0,0.0075,0.0
요구불,1283,5,965,0.0075,1.33
GEN,1279,1,0,0.0075,0.0
이름,1277,1,0,0.0074,0.0
세아,1276,1,0,0.0074,0.0
네트웍,1273,1,72,0.0074,17.68
은행업,1268,2,0,0.0074,0.0
사이언스,1266,1,50,0.0074,25.32
스타트업,1265,2,60,0.0074,21.08
주제,1265,2,0,0.0074,0.0
하도급,1265,3,153,0.0074,8.27
관계사,1258,3,31,0.0073,40.58
조립,1258,1,0,0.0073,0.0
동남아,1252,1,73,0.0073,17.15
운영비,1251,3,25,0.0073,50.04
클럽,1251,1,0,0.0073,0.0
송금,1249,8,0,0.0073,0.0
중재,1247,1,0,0.0073,0.0
오차,1243,1,0,0.0072,0.0
Total,1238,2,0,0.0072,0.0
bp,1237,1,45,0.0072,27.49
ABS,1236,3,48,0.0072,25.75
피아,1235,1,0,0.0072,0.0
전송,1234,1,22,0.0072,56.09
출자전환,1233,2,33,0.0072,37.36
오일,1232,2,28,0.0072,44.0
강제,1231,1,395,0.0072,3.12
역세권,1230,4,5,0.0072,246.0
AZ,1229,2,69,0.0072,17.81
상공,1227,1,0,0.0072,0.0
에스알,1227,1,199,0.0072,6.17
HSBC,1226,2,150,0.0071,8.17
국고채,1226,3,0,0.0071,0.0
그룹사,1226,1,0,0.0071,0.0
사용액,1225,4,0,0.0071,0.0
음료,1225,4,2,0.0071,612.5
주수,1222,1,0,0.0071,0.0
환급금,1222,4,273,0.0071,4.48
소매업,1221,1,0,0.0071,0.0
XII,1220,6,0,0.0071,0.0
마감,1220,1,358,0.0071,3.41
뉴딜,1217,2,89,0.0071,13.67
명세,1217,1,22,0.0071,55.32
헤지,1217,5,321,0.0071,3.79
음반,1216,4,27,0.0071,45.04
점포,1213,2,245,0.0071,4.95
가수,1212,1,84,0.0071,14.43
삼성생명보험,1211,3,380,0.0071,3.19
DCF,1210,1,1,0.0071,1210.0
입출금,1210,1,32,0.0071,37.81
Citi,1200,1,0,0.007,0.0
청약,1199,7,174,0.007,6.89
생물,1198,1,102,0.007,11.75
훈련비,1198,2,1185,0.007,1.01
공익,1197,2,136,0.007,8.8
뱅킹,1195,8,58,0.007,20.6
원본,1191,1,50,0.0069,23.82
상품명,1189,1,0,0.0069,0.0
수당,1187,4,221,0.0069,5.37
의의,1183,1,0,0.0069,0.0
김포,1179,1,0,0.0069,0.0
컨소시엄,1177,5,0,0.0069,0.0
현대엔지니어링,1175,1,19,0.0068,61.84
부인,1174,1,12,0.0068,97.83
저작,1162,3,978,0.0068,1.19
SRA,1160,1,321,0.0068,3.61
희망,1159,3,0,0.0068,0.0
ELS,1157,1,0,0.0067,0.0
개량,1156,3,22,0.0067,52.55
브레인,1155,3,454,0.0067,2.54
청라,1155,1,0,0.0067,0.0
신약,1154,3,229,0.0067,5.04
천안,1152,1,69,0.0067,16.7
해약,1150,5,273,0.0067,4.21
현대캐피탈,1149,1,0,0.0067,0.0
하나카드,1148,1,9,0.0067,127.56
DX,1145,1,101,0.0067,11.34
아이피,1140,2,170,0.0066,6.71
에버,1140,1,683,0.0066,1.67
금형,1139,1,24,0.0066,47.46
남부,1138,1,0,0.0066,0.0
전출,1136,2,0,0.0066,0.0
명의개서,1134,3,978,0.0066,1.16
여성,1133,4,37,0.0066,30.62
계량,1132,2,39,0.0066,29.03
완성차,1132,1,0,0.0066,0.0
장재,1132,1,29,0.0066,39.03
실물,1130,1,0,0.0066,0.0
금융채,1127,1,0,0.0066,0.0
재판,1125,1,0,0.0066,0.0
네트웍스,1119,1,212,0.0065,5.28
화력,1118,1,0,0.0065,0.0
김영,1117,2,72,0.0065,15.51
단축,1115,1,0,0.0065,0.0
협력사,1114,1,8,0.0065,139.25
카카오페이,1113,3,563,0.0065,1.98
원전,1109,1,0,0.0065,0.0
파이프,1107,2,264,0.0065,4.19
화공,1106,1,205,0.0064,5.4
관광,1105,3,0,0.0064,0.0
출재보험,1105,1,36,0.0064,30.69
인허가,1103,1,0,0.0064,0.0
삼성디스플레이,1101,1,2,0.0064,550.5
창조,1099,2,13,0.0064,84.54
진화,1097,1,0,0.0064,0.0
이체,1093,5,47,0.0064,23.26
KEB하나은행,1090,1,0,0.0064,0.0
셀트리온,1088,5,210,0.0063,5.18
공통,1087,3,133,0.0063,8.17
외국환,1087,2,56,0.0063,19.41
포장,1085,4,102,0.0063,10.64
유선,1083,3,200,0.0063,5.42
김종,1081,2,159,0.0063,6.8
터널,1080,2,26,0.0063,41.54
중견,1077,1,0,0.0063,0.0
현대카드,1077,1,0,0.0063,0.0
SGD,1074,1,0,0.0063,0.0
기수,1072,1,36,0.0062,29.78
애드,1070,2,192,0.0062,5.57
제네시스,1069,1,35,0.0062,30.54
통신비,1069,3,0,0.0062,0.0
김용,1068,10,213,0.0062,5.01
Micro,1065,1,0,0.0062,0.0
My,1064,1,21,0.0062,50.67
이승,1064,2,50,0.0062,21.28
유지비,1063,16,464,0.0062,2.29
판관,1063,71,979,0.0062,1.09
피에스,1062,2,16,0.0062,66.38
개척,1060,3,102,0.0062,10.39
증권사,1060,1,0,0.0062,0.0
제사차,1059,1,36,0.0062,29.42
삼성자산운용,1058,3,48,0.0062,22.04
두산퓨얼셀,1057,1,1,0.0062,1057.0
선물환,1055,1,57,0.0061,18.51
휴가,1055,1,0,0.0061,0.0
직책,1054,2,3,0.0061,351.33
Pet,1053,1,0,0.0061,0.0
tCO,1053,5,0,0.0061,0.0
거래량,1052,7,264,0.0061,3.98
착수,1050,1,0,0.0061,0.0
파인,1050,1,30,0.0061,35.0
병기,1047,1,41,0.0061,25.54
아이비케이,1047,1,0,0.0061,0.0
카메라,1046,1,254,0.0061,4.12
광학,1045,4,346,0.0061,3.02
세제,1043,1,0,0.0061,0.0
대지,1037,1,22,0.006,47.14
김정,1036,2,23,0.006,45.04
워터,1035,2,9,0.006,115.0
평가법,1035,1,138,0.006,7.5
대위,1032,1,3,0.006,344.0
싱가폴,1031,4,12,0.006,85.92
링크,1030,1,0,0.006,0.0
AX,1029,2,82,0.006,12.55
무한,1026,2,205,0.006,5.0
치료제,1026,3,90,0.006,11.4
삼성중공업,1024,2,113,0.006,9.06
청정,1024,1,0,0.006,0.0
주한,1023,4,0,0.006,0.0
체크,1022,2,510,0.006,2.0
특수강,1019,4,268,0.0059,3.8
노트,1017,2,441,0.0059,2.31
남미,1013,1,36,0.0059,28.14
두산밥캣,1011,1,0,0.0059,0.0
모션,1010,1,0,0.0059,0.0
순손실,1010,5,546,0.0059,1.85
현대로템,1010,1,3,0.0059,336.67
전화번호,1009,1,0,0.0059,0.0
골든,1008,4,71,0.0059,14.2
표면,1003,2,302,0.0058,3.32
구주,1001,2,106,0.0058,9.44
재료비,1001,5,40,0.0058,25.02
BIS,995,2,0,0.0058,0.0
토스,995,2,266,0.0058,3.74
비철금속,993,1,104,0.0058,9.55
중도금,993,4,0,0.0058,0.0
RSU,990,2,0,0.0058,0.0
소셜,989,3,390,0.0058,2.54
빅데이터,988,1,0,0.0058,0.0
메타버스,986,1,116,0.0057,8.5
보증인,984,1,572,0.0057,1.72
우대,983,15,42,0.0057,23.4
AQ,982,2,92,0.0057,10.67
요금,981,4,77,0.0057,12.74
이종,979,2,81,0.0057,12.09
스페셜,976,1,0,0.0057,0.0
인건비,976,1,0,0.0057,0.0
파마,976,1,291,0.0057,3.35
HMG,968,1,8,0.0056,121.0
판교,963,1,18,0.0056,53.5
글로비스,962,3,20,0.0056,48.1
기획실,962,1,4,0.0056,240.5
인천광역시,955,2,0,0.0056,0.0
당진,952,1,11,0.0055,86.55
광양,951,1,68,0.0055,13.99
인쇄,951,1,0,0.0055,0.0
캡스톤,950,1,0,0.0055,0.0
계수,948,1,430,0.0055,2.2
음원,948,2,0,0.0055,0.0
현대중공업,947,3,591,0.0055,1.6
메탈,945,3,385,0.0055,2.45
양극,941,1,166,0.0055,5.67
제칠차,938,1,28,0.0055,33.5
중소형,935,1,0,0.0054,0.0
오피스텔,933,3,2,0.0054,466.5
이창,930,1,118,0.0054,7.88
ABL,928,1,0,0.0054,0.0
동탄,925,2,143,0.0054,6.47
안진,923,1,844,0.0054,1.09
단말기,922,1,0,0.0054,0.0
찬반,921,1,798,0.0054,1.15
안심,917,6,42,0.0053,21.83
가족,916,1,22,0.0053,41.64
보호법,916,2,310,0.0053,2.95
미행,915,1,55,0.0053,16.64
균등,913,1,27,0.0053,33.81
제육,911,4,117,0.0053,7.79
워드,909,1,20,0.0053,45.45
개발원,908,1,0,0.0053,0.0
이인,908,1,42,0.0053,21.62
현대글로비스,908,1,7,0.0053,129.71
후순위채,907,2,0,0.0053,0.0
중기,906,1,63,0.0053,14.38
경감,903,1,63,0.0053,14.33
전년도,903,1,14,0.0053,64.5
Stage,897,2,0,0.0052,0.0
생산량,895,2,78,0.0052,11.47
기판,893,2,209,0.0052,4.27
게이트,892,4,0,0.0052,0.0
식스,890,1,0,0.0052,0.0
와이지,887,1,0,0.0052,0.0
레디,886,1,0,0.0052,0.0
소리,884,1,0,0.0052,0.0
을지,884,1,11,0.0052,80.36
통장,883,27,70,0.0051,12.61
유니온,882,3,220,0.0051,4.01
국책,880,2,573,0.0051,1.54
삼성바이오에피스,875,1,18,0.0051,48.61
수분,875,1,586,0.0051,1.49
군산,873,2,177,0.0051,4.93
LG유플러스,872,2,12,0.0051,72.67
팩토링,872,4,94,0.0051,9.28
김경,871,6,102,0.0051,8.54
과장,865,1,0,0.005,0.0
KIF,862,1,98,0.005,8.8
전략실,860,1,45,0.005,19.11
사용료,858,4,127,0.005,6.76
연세대학교,858,1,43,0.005,19.95
우리금융지주,854,1,0,0.005,0.0
협동,854,1,337,0.005,2.53
SVIC,853,15,0,0.005,0.0
한화투자증권,851,1,20,0.005,42.55
박성,850,6,120,0.005,7.08
양자,850,1,586,0.005,1.45
손자,849,1,832,0.0049,1.02
이영,848,1,91,0.0049,9.32
건축사,846,2,0,0.0049,0.0
AW,845,2,87,0.0049,9.71
사업소,838,2,0,0.0049,0.0
고압,835,1,171,0.0049,4.88
콜론,834,3,302,0.0049,2.76
리튬,833,1,0,0.0049,0.0
도서,831,4,380,0.0048,2.19
광열,827,3,789,0.0048,1.05
김민,826,6,87,0.0048,9.49
타이거,825,8,0,0.0048,0.0
Mizuho,821,1,0,0.0048,0.0
상여금,821,3,35,0.0048,23.46
월세,821,3,30,0.0048,27.37
웹툰,818,3,8,0.0048,102.25
BD,814,2,58,0.0047,14.03
뷰티,814,1,76,0.0047,10.71
시설물,813,2,245,0.0047,3.32
아연,813,1,0,0.0047,0.0
입주,813,2,0,0.0047,0.0
Agency,808,2,171,0.0047,4.73
공헌,806,1,84,0.0047,9.6
정주,805,1,64,0.0047,12.58
내국,803,3,145,0.0047,5.54
중고차,803,1,0,0.0047,0.0
정규,802,1,23,0.0047,34.87
게재,800,2,294,0.0047,2.72
납세,799,1,26,0.0047,30.73
아이디,799,2,75,0.0047,10.65
Standard,798,1,0,0.0047,0.0
비유동리스,798,2,762,0.0047,1.05
부동산업,797,2,0,0.0046,0.0
김해,796,1,33,0.0046,24.12
사업단,795,1,16,0.0046,49.69
엔젤,794,1,21,0.0046,37.81
부담금,793,2,44,0.0046,18.02
가치세,792,10,120,0.0046,6.6
UAE,791,1,0,0.0046,0.0
딜러,791,1,69,0.0046,11.46
그라운드,787,1,395,0.0046,1.99
에코프로,786,1,51,0.0046,15.41
접대비,786,1,0,0.0046,0.0
서민,784,1,166,0.0046,4.72
수송,784,1,33,0.0046,23.76
전파,783,2,108,0.0046,7.25
연합,779,1,21,0.0045,37.1
DBS,778,1,0,0.0045,0.0
안산,778,1,0,0.0045,0.0
신용거래,777,1,0,0.0045,0.0
캄보디아,777,1,106,0.0045,7.33
환수,777,2,0,0.0045,0.0
병원,776,1,117,0.0045,6.63
일간,775,1,38,0.0045,20.39
제구,775,1,36,0.0045,21.53
GEM,774,1,0,0.0045,0.0
삼성에스디에스,774,1,0,0.0045,0.0
근저당,773,1,8,0.0045,96.62
평가액,773,1,134,0.0045,5.77
오인,772,1,20,0.0045,38.6
제소,771,1,0,0.0045,0.0
제련,770,1,126,0.0045,6.11
EZ,769,1,362,0.0045,2.12
미니,765,4,84,0.0045,9.11
박정,763,1,61,0.0044,12.51
김진,762,2,31,0.0044,24.58
취지,761,2,0,0.0044,0.0
현대오토,760,1,683,0.0044,1.11
선진국,758,1,24,0.0044,31.58
질병,758,4,72,0.0044,10.53
이경,757,3,42,0.0044,18.02
북부,755,1,0,0.0044,0.0
삼성전기,755,1,91,0.0044,8.3
친화,755,1,22,0.0044,34.32
가용,751,1,25,0.0044,30.04
예탁금,750,5,304,0.0044,2.47
CCC,749,1,0,0.0044,0.0
임업,748,1,442,0.0044,1.69
강서,742,1,0,0.0043,0.0
동양,742,1,169,0.0043,4.39
TJ,741,4,0,0.0043,0.0
예상액,738,2,51,0.0043,14.47
MMF,736,1,0,0.0043,0.0
PEF,735,3,0,0.0043,0.0
대한통운,735,2,0,0.0043,0.0
통계학,735,1,20,0.0043,36.75
수선비,734,1,0,0.0043,0.0
드라이브,733,2,233,0.0043,3.15
NPL,729,2,48,0.0042,15.19
추심,728,3,70,0.0042,10.4
박스,727,2,13,0.0042,55.92
발송,724,2,81,0.0042,8.94
매립,723,1,0,0.0042,0.0
생활용품,721,3,3,0.0042,240.33
이준,720,2,50,0.0042,14.4
하남,720,1,29,0.0042,24.83
삼척,719,2,0,0.0042,0.0
설경,719,1,22,0.0042,32.68
위탁자,719,2,187,0.0042,3.84
SRL,718,10,0,0.0042,0.0
손해액,715,3,376,0.0042,1.9
ANZ,714,1,75,0.0042,9.52
KOSPI,714,8,86,0.0042,8.3
공사비,714,2,18,0.0042,39.67
데이타,712,1,562,0.0042,1.27
기업공개,710,1,0,0.0041,0.0
도어,710,1,0,0.0041,0.0
미경,709,2,218,0.0041,3.25
박용,709,2,29,0.0041,24.45
신동,708,2,28,0.0041,25.29
반품,707,4,78,0.0041,9.06
유망,706,1,0,0.0041,0.0
부산물,705,1,41,0.0041,17.2
수재,704,2,98,0.0041,7.18
이득,703,2,323,0.0041,2.18
정교,703,1,260,0.0041,2.7
특약,701,1,87,0.0041,8.06
포스코이앤,701,1,0,0.0041,0.0
퍼블리싱,700,2,0,0.0041,0.0
할증,700,6,197,0.0041,3.55
통신업,697,1,84,0.0041,8.3
전대리스,695,1,0,0.0041,0.0
공탁,692,1,160,0.004,4.33
하나벤처스,692,4,92,0.004,7.52
패션,691,2,93,0.004,7.43
하우스,691,2,18,0.004,38.39
임차인,689,1,0,0.004,0.0
헬로비전,689,1,13,0.004,53.0
소스,688,1,0,0.004,0.0
차수,688,1,0,0.004,0.0
SK브로드밴드,687,1,0,0.004,0.0
수익자,686,1,24,0.004,28.58
이입,683,1,0,0.004,0.0
키즈,683,1,441,0.004,1.55
주택도시보증공사,680,1,0,0.004,0.0
기술인,678,1,182,0.004,3.73
최고액,678,3,494,0.004,1.37
케이큐브,677,1,41,0.0039,16.51
신세계건설,676,2,2,0.0039,338.0
용인시,676,1,10,0.0039,67.6
패널,674,1,0,0.0039,0.0
협의체,674,1,0,0.0039,0.0
사랑,673,4,24,0.0039,28.04
실명,673,1,0,0.0039,0.0
이윤,673,1,30,0.0039,22.43
파이낸셜,672,2,327,0.0039,2.06
질환,671,2,16,0.0039,41.94
배전,669,1,0,0.0039,0.0
한국수력원자력,669,2,0,0.0039,0.0
박상,667,4,158,0.0039,4.22
율촌,667,2,201,0.0039,3.32
특수선,665,4,66,0.0039,10.08
부국,662,1,562,0.0039,1.18
순재,662,1,0,0.0039,0.0
부속,660,1,99,0.0038,6.67
신한금융지주,660,2,426,0.0038,1.55
삼성생명서비스손해사정,659,1,33,0.0038,19.97
유틸리티,658,4,163,0.0038,4.04
해고,658,2,501,0.0038,1.31
조지,657,1,0,0.0038,0.0
처음,657,1,0,0.0038,0.0
생존,654,1,56,0.0038,11.68
제트,654,6,308,0.0038,2.12
한화첨단소재,654,2,3,0.0038,218.0
상수,650,1,59,0.0038,11.02
Aa,649,4,16,0.0038,40.56
Usance,649,3,60,0.0038,10.82
로컬,645,1,121,0.0038,5.33
상영,645,2,33,0.0038,19.55
합동,639,1,111,0.0037,5.76
Compliance,637,1,186,0.0037,3.42
ROE,636,3,0,0.0037,0.0
급속,635,1,0,0.0037,0.0
리스트,635,1,0,0.0037,0.0
레버리지,634,1,0,0.0037,0.0
알루미늄,633,1,23,0.0037,27.52
프론티어,633,3,150,0.0037,4.22
그립,632,1,582,0.0037,1.09
한국은행,631,2,0,0.0037,0.0
한전,629,6,11,0.0037,57.18
이현,627,4,48,0.0037,13.06
평생,627,3,0,0.0037,0.0
장려금,626,1,0,0.0036,0.0
경주,621,1,0,0.0036,0.0
창원시,621,1,0,0.0036,0.0
대전광역시,619,1,0,0.0036,0.0
디스커버리,619,1,100,0.0036,6.19
한화생명,619,1,0,0.0036,0.0
감면,618,4,35,0.0036,17.66
부산광역시,618,1,0,0.0036,0.0
접속,614,4,36,0.0036,17.06
박진,613,2,72,0.0036,8.51
하이닉스,613,4,362,0.0036,1.69
평잔,611,2,79,0.0036,7.73
섹터,610,1,85,0.0036,7.18
중계,610,1,0,0.0036,0.0
MUFG,609,1,126,0.0035,4.83
스마트시티,609,1,0,0.0035,0.0
주파,609,2,0,0.0035,0.0
SMS,606,2,25,0.0035,24.24
파이낸싱,606,1,0,0.0035,0.0
학산,606,1,361,0.0035,1.68
드래곤,604,1,0,0.0035,0.0
유니버스,604,2,483,0.0035,1.25
인사이트,604,1,0,0.0035,0.0
식물,603,1,32,0.0035,18.84
싸이클,602,1,429,0.0035,1.4
운항,602,2,37,0.0035,16.27
진흥원,602,1,166,0.0035,3.63
카카오스타일,602,1,0,0.0035,0.0
SMBC,597,2,68,0.0035,8.78
ISA,593,6,81,0.0035,7.32
GDP,592,1,199,0.0035,2.97
물건,590,2,136,0.0034,4.34
폐수,590,1,29,0.0034,20.34
배우자,588,1,0,0.0034,0.0
카드론,587,1,0,0.0034,0.0
애니카,586,2,530,0.0034,1.11
모멘텀,584,2,0,0.0034,0.0
개인연금,583,3,111,0.0034,5.25
수여,583,1,0,0.0034,0.0
원자로,583,2,48,0.0034,12.15
출신,583,1,0,0.0034,0.0
코너,583,1,0,0.0034,0.0
레일,582,2,84,0.0034,6.93
상권,582,1,0,0.0034,0.0
포털,582,2,79,0.0034,7.37
ROA,581,1,0,0.0034,0.0
부처,581,1,165,0.0034,3.52
공모주,578,2,69,0.0034,8.38
김준,578,1,24,0.0034,24.08
예적금,576,7,85,0.0034,6.78
PFV,573,1,70,0.0033,8.19
강릉,573,1,0,0.0033,0.0
홍성,572,2,37,0.0033,15.46
시트,571,1,0,0.0033,0.0
기호,570,1,69,0.0033,8.26
ABCP,568,1,0,0.0033,0.0
IRA,566,1,131,0.0033,4.32
신장,566,1,43,0.0033,13.16
관찰,563,1,25,0.0033,22.52
트리플,563,4,155,0.0033,3.63
장기체화재,561,1,0,0.0033,0.0
벌크,560,2,0,0.0033,0.0
적수,559,2,12,0.0033,46.58
김희,558,2,37,0.0033,15.08
차환,555,1,257,0.0032,2.16
아레나,553,1,544,0.0032,1.02
수퍼,551,5,48,0.0032,11.48
스프링,551,1,0,0.0032,0.0
창작,549,2,188,0.0032,2.92
케이블,549,2,206,0.0032,2.67
한화이센셜,549,1,0,0.0032,0.0
ARS,547,1,33,0.0032,16.58
STS,547,1,17,0.0032,32.18
교량,547,1,0,0.0032,0.0
발해,547,2,193,0.0032,2.83
에이스,547,2,0,0.0032,0.0
디펜스,546,2,224,0.0032,2.44
YG,545,3,0,0.0032,0.0
숙박,545,2,0,0.0032,0.0
한화에너지,545,1,0,0.0032,0.0
런던,544,2,0,0.0032,0.0
운반선,543,1,0,0.0032,0.0
의존도,543,1,83,0.0032,6.54
케이피,543,2,225,0.0032,2.41
회선,542,2,201,0.0032,2.7
부당이득,541,1,297,0.0032,1.82
오니,541,1,29,0.0032,18.66
동작,540,1,7,0.0031,77.14
아모레퍼시픽,540,1,13,0.0031,41.54
플래닛,540,1,0,0.0031,0.0
다이렉트,539,1,0,0.0031,0.0
매칭,539,1,0,0.0031,0.0
선불,539,1,128,0.0031,4.21
하수,539,1,0,0.0031,0.0
LIG,538,1,5,0.0031,107.6
안양,538,1,9,0.0031,59.78
정우,538,2,35,0.0031,15.37
전속,537,2,67,0.0031,8.01
커머셜,535,1,0,0.0031,0.0
식음료,534,2,268,0.0031,1.99
CMA,533,3,56,0.0031,9.52
콘솔,533,2,20,0.0031,26.65
넥스원,532,1,5,0.0031,106.4
유로화,532,1,2,0.0031,266.0
대안,531,2,23,0.0031,23.09
매직,531,1,24,0.0031,22.12
온도,531,1,44,0.0031,12.07
중앙대학교,531,1,117,0.0031,4.54
트윈,529,1,11,0.0031,48.09
부재료,528,2,0,0.0031,0.0
재물,527,3,75,0.0031,7.03
케미컬,527,4,249,0.0031,2.12
불법,526,1,0,0.0031,0.0
압축기,526,2,255,0.0031,2.06
사업청,524,1,458,0.0031,1.14
하이일드,524,2,9,0.0031,58.22
한화갤러리아,524,1,6,0.0031,87.33
렌탈,522,1,0,0.003,0.0
삼성벤처투자,522,1,0,0.003,0.0
신인,521,2,38,0.003,13.71
IDC,520,1,13,0.003,40.0
LTE,520,1,0,0.003,0.0
증여,519,2,4,0.003,129.75
김수,516,2,26,0.003,19.85
출산,515,1,0,0.003,0.0
신선,513,1,105,0.003,4.89
엘아이지,513,2,28,0.003,18.32
코스모,513,1,54,0.003,9.5
금호,511,1,0,0.003,0.0
주파수,511,5,198,0.003,2.58
공과금,510,2,160,0.003,3.19
익산,510,2,35,0.003,14.57
방배,508,1,52,0.003,9.77
차이나,508,1,0,0.003,0.0
한화생명보험,508,1,0,0.003,0.0
김선,507,1,21,0.003,24.14
이라크,507,3,8,0.003,63.38
리모델링,506,1,0,0.0029,0.0
지자체,506,1,0,0.0029,0.0
구상,505,2,26,0.0029,19.42
농장,505,1,0,0.0029,0.0
이강,505,1,32,0.0029,15.78
적립식,505,1,0,0.0029,0.0
증권업,505,2,33,0.0029,15.3
집기,505,2,321,0.0029,1.57
장진,504,1,13,0.0029,38.77
거절,503,1,0,0.0029,0.0
연구비,502,4,70,0.0029,7.17
운임,502,1,15,0.0029,33.47
최윤,502,2,114,0.0029,4.4
마이데이터,499,1,40,0.0029,12.47
우리투자증권,499,1,19,0.0029,26.26
IMM,495,1,60,0.0029,8.25
에이치엠엠,495,1,15,0.0029,33.0
카본,494,2,172,0.0029,2.87
작동,493,1,44,0.0029,11.2
정승,493,1,45,0.0029,10.96
MMT,492,2,0,0.0029,0.0
열병합,492,1,0,0.0029,0.0
김대,491,1,32,0.0029,15.34
장용,491,1,74,0.0029,6.64
의뢰,490,1,0,0.0029,0.0
출장,490,1,20,0.0029,24.5
한국경제신문,490,1,0,0.0029,0.0
한국에너지공단,490,2,0,0.0029,0.0
콜센터,489,1,21,0.0029,23.29
대상물,488,1,220,0.0028,2.22
광주광역시,487,1,0,0.0028,0.0
냉동,487,2,0,0.0028,0.0
바디,487,1,0,0.0028,0.0
시큐리티,487,1,56,0.0028,8.7
의식,486,1,32,0.0028,15.19
일중,485,5,308,0.0028,1.57
윤영,484,4,84,0.0028,5.76
제이피,484,2,93,0.0028,5.2
엘엔지,481,1,0,0.0028,0.0
SC제일은행,480,1,0,0.0028,0.0
비유동선,480,1,22,0.0028,21.82
신한울,480,4,0,0.0028,0.0
메이커,479,2,53,0.0028,9.04
제십차,479,1,41,0.0028,11.68
격차,478,2,0,0.0028,0.0
히트,478,1,10,0.0028,47.8
마산,476,2,0,0.0028,0.0
상속,476,1,0,0.0028,0.0
연구실,476,1,14,0.0028,34.0
중복,476,1,0,0.0028,0.0
차단기,476,1,171,0.0028,2.78
마인드,474,3,163,0.0028,2.91
신용보증기금,473,1,113,0.0028,4.19
유배,473,1,34,0.0028,13.91
이은,473,1,22,0.0028,21.5
파괴,472,1,271,0.0028,1.74
TG,471,4,0,0.0027,0.0
리더스,471,1,0,0.0027,0.0
NEO,470,1,41,0.0027,11.46
크림,470,1,0,0.0027,0.0
의학,468,1,60,0.0027,7.8
순재보험,467,1,110,0.0027,4.25
시재,466,2,0,0.0027,0.0
코너스톤,466,2,51,0.0027,9.14
ALM,465,1,27,0.0027,17.22
해운업,464,2,0,0.0027,0.0
인쇄비,463,3,380,0.0027,1.22
최영,463,3,67,0.0027,6.91
진영,461,2,24,0.0027,19.21
캔디,461,1,72,0.0027,6.4
청구액,460,2,367,0.0027,1.25
한미약품,458,4,154,0.0027,2.97
강성,456,2,76,0.0027,6.0
협동조합,456,2,88,0.0027,5.18
설명서,455,1,307,0.0027,1.48
MMDA,453,5,30,0.0026,15.1
베이직,453,1,13,0.0026,34.85
DH,451,2,23,0.0026,19.61
에코플랜트,451,1,179,0.0026,2.52
지훈,451,2,41,0.0026,11.0
중앙은행,450,1,0,0.0026,0.0
퇴사,450,1,51,0.0026,8.82
토양,449,1,0,0.0026,0.0
한화오션에코텍,449,2,4,0.0026,112.25
담수,448,1,152,0.0026,2.95
배율,446,2,244,0.0026,1.83
용접,446,2,0,0.0026,0.0
UBS,445,1,155,0.0026,2.87
출연료,445,5,255,0.0026,1.75
SK이노베이션,444,1,0,0.0026,0.0
준호,444,2,90,0.0026,4.93
한화손해보험,444,1,0,0.0026,0.0
우리프라이빗에퀴티,443,1,425,0.0026,1.04
차감계,443,1,0,0.0026,0.0
현대케피코,443,1,0,0.0026,0.0
Baa,441,1,16,0.0026,27.56
선영,441,1,17,0.0026,25.94
펀드파트너스,441,1,91,0.0026,4.85
역외,440,2,115,0.0026,3.83
