part,part_df,n_owner,owner_max_df,share,vs_owner
하위,2733,1,2278,0.0159,1.2
상용,2731,2,39,0.0159,70.03
적격,2731,1,117,0.0159,23.34
동력,2729,3,66,0.0159,41.35
의장,2726,1,191,0.0159,14.27
소급,2725,5,850,0.0159,3.21
홍콩,2721,8,120,0.0159,22.68
보건,2720,1,82,0.0159,33.17
ETN,2715,1,0,0.0158,0.0
작업,2712,1,36,0.0158,75.33
TV,2710,2,206,0.0158,13.16
계좌,2710,5,67,0.0158,40.45
생사,2706,2,265,0.0158,10.21
제각,2704,5,55,0.0158,49.16
제주,2701,3,113,0.0157,23.9
방송,2700,4,236,0.0157,11.44
명목,2696,7,1546,0.0157,1.74
상무이사,2694,2,2489,0.0157,1.08
차주,2693,1,38,0.0157,70.87
문서,2690,1,32,0.0157,84.06
주체,2688,1,11,0.0157,244.36
제재,2686,1,145,0.0157,18.52
질권,2684,2,901,0.0156,2.98
할부,2682,13,1803,0.0156,1.49
가동,2680,2,953,0.0156,2.81
모듈,2672,6,254,0.0156,10.52
명부,2671,1,0,0.0156,0.0
OCI,2669,7,80,0.0156,33.36
재정,2661,1,14,0.0155,190.07
소형,2657,2,355,0.0155,7.48
정밀,2649,2,28,0.0154,94.61
클라우드,2644,1,0,0.0154,0.0
보안,2642,1,2,0.0154,1321.0
임차료,2637,7,695,0.0154,3.79
지가,2632,2,138,0.0153,19.07
Unit,2628,1,0,0.0153,0.0
투명,2625,2,148,0.0153,17.74
포스코,2617,5,0,0.0153,0.0
회장,2615,1,165,0.0152,15.85
미착,2611,2,86,0.0152,30.36
회원권,2611,4,127,0.0152,20.56
국민연금,2594,5,843,0.0151,3.08
상해,2594,9,329,0.0151,7.88
조항,2592,1,197,0.0151,13.16
진흥,2591,4,481,0.0151,5.39
상생,2584,7,70,0.0151,36.91
주주명부,2584,4,509,0.0151,5.08
여수,2574,1,12,0.015,214.5
영구,2568,4,1118,0.015,2.3
사정,2566,7,530,0.015,4.84
에스엠,2565,2,996,0.015,2.58
기부금,2562,3,58,0.0149,44.17
공구,2557,8,829,0.0149,3.08
혼합,2533,13,820,0.0148,3.09
멀티,2532,1,0,0.0148,0.0
기여금,2530,5,76,0.0147,33.29
철도,2529,47,174,0.0147,14.53
재원,2523,1,0,0.0147,0.0
EPC,2521,2,0,0.0147,0.0
선전비,2521,6,2518,0.0147,1.0
AO,2520,2,92,0.0147,27.39
보관,2518,5,293,0.0147,8.59
기명,2510,2,148,0.0146,16.96
장소,2508,3,174,0.0146,14.41
화물,2503,4,238,0.0146,10.52
스틸,2502,6,429,0.0146,5.83
사망,2488,6,813,0.0145,3.06
의약품,2488,6,982,0.0145,2.53
CNY,2468,1,3,0.0144,822.67
성별,2467,1,48,0.0144,51.4
OI,2465,1,0,0.0144,0.0
거래일,2452,6,99,0.0143,24.77
신용정보,2449,2,0,0.0143,0.0
장기선,2444,4,1050,0.0142,2.33
기아,2442,2,166,0.0142,14.71
식품,2438,5,70,0.0142,34.83
사무소,2433,2,0,0.0142,0.0
구입,2431,6,45,0.0142,54.02
원부,2430,4,252,0.0142,9.64
정리,2429,1,28,0.0142,86.75
한국수출입은행,2416,4,32,0.0141,75.5
금속,2413,3,109,0.0141,22.14
초기,2410,1,0,0.014,0.0
스퀘어,2401,3,585,0.014,4.1
측정기,2401,1,298,0.014,8.06
KDB,2395,8,1081,0.014,2.22
3사,2391,1,0,0.0139,0.0
지능,2387,1,1458,0.0139,1.64
용기,2380,1,16,0.0139,148.75
발행자,2379,1,0,0.0139,0.0
장외,2377,3,1057,0.0139,2.25
마진,2375,13,1816,0.0138,1.31
파산,2363,1,0,0.0138,0.0
MD,2361,2,0,0.0138,0.0
현행,2357,1,0,0.0137,0.0
대외,2353,2,0,0.0137,0.0
물량,2347,2,532,0.0137,4.41
맞춤,2325,5,1932,0.0136,1.2
광주,2318,1,47,0.0135,49.32
오피스,2305,2,19,0.0134,121.32
참가,2305,1,0,0.0134,0.0
주하,2304,1,0,0.0134,0.0
AF,2298,2,90,0.0134,25.53
상표,2297,2,1289,0.0134,1.78
대리점,2296,3,511,0.0134,4.49
분산,2293,1,168,0.0134,13.65
출석,2290,2,1865,0.0133,1.23
권면,2286,2,108,0.0133,21.17
법정,2283,3,1215,0.0133,1.88
수용,2272,1,29,0.0132,78.34
상임,2249,1,0,0.0131,0.0
종가,2249,1,72,0.0131,31.24
의료,2246,2,649,0.0131,3.46
UP,2245,1,0,0.0131,0.0
가득,2244,1,72,0.0131,31.17
미래에셋증권,2242,3,7,0.0131,320.29
겸직,2241,2,232,0.0131,9.66
합성,2241,3,76,0.0131,29.49
IX,2239,8,0,0.0131,0.0
채권자,2234,3,3,0.013,744.67
회전,2230,4,128,0.013,17.42
보강,2224,3,1715,0.013,1.3
연구원,2224,3,406,0.013,5.48
러시아,2223,2,127,0.013,17.5
구성비,2217,1,0,0.0129,0.0
원료,2211,2,268,0.0129,8.25
인출,2210,1,0,0.0129,0.0
CHINA,2209,1,0,0.0129,0.0
이율,2206,4,111,0.0129,19.87
특화,2206,2,136,0.0129,16.22
포항,2202,4,133,0.0128,16.56
선진,2198,1,0,0.0128,0.0
국고,2195,3,774,0.0128,2.84
네이버,2195,22,327,0.0128,6.71
전신,2185,1,0,0.0127,0.0
수표,2183,2,0,0.0127,0.0
일임,2180,5,316,0.0127,6.9
순환,2174,1,68,0.0127,31.97
삼성생명,2172,6,581,0.0127,3.74
시험,2169,4,37,0.0126,58.62
공채,2165,1,0,0.0126,0.0
도약,2161,1,30,0.0126,72.03
국외,2159,1,3,0.0126,719.67
타워,2155,1,11,0.0126,195.91
조화,2154,1,155,0.0126,13.9
배출량,2153,6,182,0.0125,11.83
로봇,2148,5,337,0.0125,6.37
스토리,2147,2,372,0.0125,5.77
청년,2146,13,310,0.0125,6.92
환매,2145,9,666,0.0125,3.22
배터리,2144,2,0,0.0125,0.0
이노베이션,2142,2,103,0.0125,20.8
프리미엄,2136,2,0,0.0125,0.0
재단,2134,15,188,0.0124,11.35
인센티브,2128,4,38,0.0124,56.0
컴퓨터,2126,2,355,0.0124,5.99
인구,2125,2,846,0.0124,2.51
입찰,2113,4,368,0.0123,5.74
VAT,2112,1,0,0.0123,0.0
원고,2109,2,0,0.0123,0.0
기전,2106,1,204,0.0123,10.32
SOC,2103,1,0,0.0123,0.0
기중,2096,4,79,0.0122,26.53
분당,2096,2,0,0.0122,0.0
성향,2095,1,1248,0.0122,1.68
인원수,2093,1,0,0.0122,0.0
용산,2084,1,0,0.0121,0.0
오픈,2082,4,58,0.0121,35.9
철강,2082,4,281,0.0121,7.41
소집,2074,1,0,0.0121,0.0
수급,2074,2,0,0.0121,0.0
현대차,2068,4,1475,0.0121,1.4
전화,2065,5,1009,0.012,2.05
태국,2060,1,2,0.012,1030.0
보충,2050,6,650,0.0119,3.15
효성,2049,8,36,0.0119,56.92
적금,2044,15,292,0.0119,7.0
건설공제조합,2039,1,0,0.0119,0.0
복지,2035,4,74,0.0119,27.5
시내,2034,1,42,0.0119,48.43
서치,2033,1,110,0.0118,18.48
상관,2029,1,430,0.0118,4.72
전장,2023,3,406,0.0118,4.98
원자재,2021,4,61,0.0118,33.13
국공채,2020,9,30,0.0118,67.33
농협,2017,2,0,0.0118,0.0
환전,2017,5,13,0.0118,155.15
EF,2009,1,0,0.0117,0.0
메리츠증권,2009,1,0,0.0117,0.0
케이비,2008,4,0,0.0117,0.0
중동,1998,1,0,0.0116,0.0
결산일,1993,1,72,0.0116,27.68
마크,1988,2,0,0.0116,0.0
푸드,1986,1,2,0.0116,993.0
유연,1978,1,0,0.0115,0.0
무선,1975,3,179,0.0115,11.03
북경,1960,10,251,0.0114,7.81
기술력,1958,1,0,0.0114,0.0
브릿지,1951,3,416,0.0114,4.69
충전,1945,2,133,0.0113,14.62
인터내셔널,1943,1,0,0.0113,0.0
KEB,1940,8,127,0.0113,15.28
레드,1938,3,0,0.0113,0.0
소수,1935,4,116,0.0113,16.68
BP,1934,1,0,0.0113,0.0
납품,1934,1,0,0.0113,0.0
경로,1933,2,138,0.0113,14.01
폐쇄,1925,5,509,0.0112,3.78
용수,1922,1,19,0.0112,101.16
라이브,1921,1,431,0.0112,4.46
성남,1921,2,102,0.0112,18.83
주상,1917,1,753,0.0112,2.55
CU,1913,2,0,0.0112,0.0
장래,1908,1,14,0.0111,136.29
호기,1899,9,0,0.0111,0.0
작용,1898,1,204,0.0111,9.3
컨텐츠,1898,4,44,0.0111,43.14
공유,1895,2,12,0.011,157.92
이항,1890,1,1449,0.011,1.3
녹색,1887,3,228,0.011,8.28
사업비,1886,7,345,0.011,5.47
방위,1873,6,458,0.0109,4.09
세종,1873,2,36,0.0109,52.03
인공,1867,2,1458,0.0109,1.28
부실,1862,4,0,0.0109,0.0
서부,1861,3,25,0.0108,74.44
MT,1851,3,0,0.0108,0.0
실사,1851,4,0,0.0108,0.0
경남,1841,1,0,0.0107,0.0
후순위,1841,10,635,0.0107,2.9
웨이브,1839,4,158,0.0107,11.64
귀중,1838,2,0,0.0107,0.0
오엔,1829,1,73,0.0107,25.05
IPO,1828,1,0,0.0107,0.0
아파트,1826,1,38,0.0106,48.05
커머스,1826,2,158,0.0106,11.56
권선,1825,1,145,0.0106,12.59
할당,1825,21,801,0.0106,2.28
삼성화재,1823,13,530,0.0106,3.44
마켓,1820,1,200,0.0106,9.1
뮤직,1815,1,10,0.0106,181.5
신용장,1811,15,834,0.0106,2.17
예정일,1811,4,390,0.0106,4.64
변제,1810,2,0,0.0105,0.0
매니지먼트,1809,3,131,0.0105,13.81
하나금융,1809,8,129,0.0105,14.02
결제원,1808,1,0,0.0105,0.0
융합,1807,1,34,0.0105,53.15
인상,1806,5,135,0.0105,13.38
KB국민은행,1804,2,0,0.0105,0.0
코스닥,1801,8,858,0.0105,2.1
구역,1800,4,102,0.0105,17.65
미착품,1800,1,0,0.0105,0.0
VII,1796,10,0,0.0105,0.0
그레이,1795,2,36,0.0105,49.86
항공기,1794,7,198,0.0105,9.06
포인트,1793,3,69,0.0105,25.99
보완,1792,3,161,0.0104,11.13
신고서,1791,1,0,0.0104,0.0
메디,1790,1,15,0.0104,119.33
